# Residuals   
# Time        	p_rgh         
0.001         	1.000000e+00
0.002         	3.063850e-01
0.003         	1.714720e-01
0.004         	1.142580e-01
0.005         	8.276420e-02
0.006         	6.292130e-02
0.007         	4.933780e-02
0.008         	3.950370e-02
0.009         	3.209190e-02
0.01          	2.633500e-02
0.011         	2.175810e-02
0.012         	1.805180e-02
0.013         	1.500550e-02
0.014         	1.247110e-02
0.015         	1.034140e-02
0.016         	8.909320e-03
0.017         	8.536180e-03
0.018         	8.175480e-03
0.019         	7.826720e-03
0.02          	7.489470e-03
0.021         	7.163370e-03
0.022         	6.848110e-03
0.023         	6.543420e-03
0.024         	6.249020e-03
0.025         	5.964700e-03
0.026         	5.921390e-03
0.027         	6.043930e-03
0.028         	6.128920e-03
0.029         	6.181820e-03
0.03          	6.207330e-03
0.031         	6.209470e-03
0.032         	6.191720e-03
0.033         	6.157070e-03
0.034         	6.108120e-03
0.035         	6.047140e-03
0.036         	5.976080e-03
0.037         	5.896640e-03
0.038         	5.810310e-03
0.039         	5.748360e-03
0.04          	5.777850e-03
0.041         	5.795660e-03
0.042         	5.802980e-03
0.043         	5.800950e-03
0.044         	5.790560e-03
0.045         	5.772740e-03
0.046         	5.748310e-03
0.047         	5.718020e-03
0.048         	5.682540e-03
0.049         	5.642480e-03
0.05          	5.598390e-03
0.051         	5.550780e-03
0.052         	5.500090e-03
0.053         	5.446740e-03
0.054         	5.391100e-03
0.055         	5.333500e-03
0.056         	5.274250e-03
0.057         	5.213620e-03
0.058         	5.151860e-03
0.059         	5.089190e-03
0.06          	5.025810e-03
0.061         	4.961920e-03
0.062         	4.897660e-03
0.063         	4.833190e-03
0.064         	4.768650e-03
0.065         	4.704140e-03
0.066         	4.639780e-03
0.067         	4.575650e-03
0.068         	4.511850e-03
0.069         	4.448450e-03
0.07          	4.385520e-03
0.071         	4.330930e-03
0.072         	4.297530e-03
0.073         	4.263710e-03
0.074         	4.229510e-03
0.075         	4.194990e-03
0.076         	4.160200e-03
0.077         	4.125200e-03
0.078         	4.090020e-03
0.079         	4.054710e-03
0.08          	4.019320e-03
0.081         	3.983880e-03
0.082         	3.948410e-03
0.083         	3.912950e-03
0.084         	3.877530e-03
0.085         	3.842170e-03
0.086         	3.806890e-03
0.087         	3.771720e-03
0.088         	3.736670e-03
0.089         	3.701770e-03
0.09          	3.667040e-03
0.091         	3.632480e-03
0.092         	3.598110e-03
0.093         	3.563950e-03
0.094         	3.530010e-03
0.095         	3.496300e-03
0.096         	3.462820e-03
0.097         	3.429600e-03
0.098         	3.396620e-03
0.099         	3.363910e-03
0.1           	3.331470e-03
0.101         	3.299280e-03
0.102         	3.267370e-03
0.103         	3.235740e-03
0.104         	3.204400e-03
0.105         	3.173350e-03
0.106         	3.142600e-03
0.107         	3.112150e-03
0.108         	3.081990e-03
0.109         	3.052130e-03
0.11          	3.022580e-03
0.111         	2.993320e-03
0.112         	2.964370e-03
0.113         	2.941950e-03
0.114         	2.922440e-03
0.115         	2.903020e-03
0.116         	2.883680e-03
0.117         	2.864430e-03
0.118         	2.845270e-03
0.119         	2.826210e-03
0.12          	2.807230e-03
0.121         	2.788350e-03
0.122         	2.769560e-03
0.123         	2.750870e-03
0.124         	2.732280e-03
0.125         	2.713800e-03
0.126         	2.695420e-03
0.127         	2.677150e-03
0.128         	2.658990e-03
0.129         	2.640940e-03
0.13          	2.623000e-03
0.131         	2.605180e-03
0.132         	2.587460e-03
0.133         	2.569860e-03
0.134         	2.552370e-03
0.135         	2.535000e-03
0.136         	2.517740e-03
0.137         	2.500600e-03
0.138         	2.483570e-03
0.139         	2.466660e-03
0.14          	2.449870e-03
0.141         	2.433200e-03
0.142         	2.416650e-03
0.143         	2.400210e-03
0.144         	2.383900e-03
0.145         	2.367700e-03
0.146         	2.351610e-03
0.147         	2.335650e-03
0.148         	2.319800e-03
0.149         	2.304070e-03
0.15          	2.288460e-03
0.151         	2.272960e-03
0.152         	2.257580e-03
0.153         	2.242310e-03
0.154         	2.227170e-03
0.155         	2.212130e-03
0.156         	2.197220e-03
0.157         	2.182420e-03
0.158         	2.167730e-03
0.159         	2.153160e-03
0.16          	2.138700e-03
0.161         	2.124350e-03
0.162         	2.110120e-03
0.163         	2.096000e-03
0.164         	2.082240e-03
0.165         	2.071690e-03
0.166         	2.061270e-03
0.167         	2.050910e-03
0.168         	2.040600e-03
0.169         	2.030340e-03
0.17          	2.020130e-03
0.171         	2.009970e-03
0.172         	1.999860e-03
0.173         	1.989800e-03
0.174         	1.979790e-03
0.175         	1.969840e-03
0.176         	1.959930e-03
0.177         	1.950080e-03
0.178         	1.940280e-03
0.179         	1.930530e-03
0.18          	1.920830e-03
0.181         	1.911180e-03
0.182         	1.901580e-03
