# Residuals   
# Time        	p_rgh         
0.001         	1.000000e+00
0.002         	3.063690e-01
0.003         	1.714610e-01
0.004         	1.142500e-01
0.005         	8.275800e-02
0.006         	6.291630e-02
0.007         	4.933370e-02
0.008         	3.945140e-02
0.009         	3.200850e-02
0.01          	2.623160e-02
0.011         	2.164190e-02
0.012         	1.792730e-02
0.013         	1.487600e-02
0.014         	1.233900e-02
0.015         	1.020830e-02
0.016         	8.899390e-03
0.017         	8.525190e-03
0.018         	8.163430e-03
0.019         	7.813610e-03
0.02          	7.475330e-03
0.021         	7.148230e-03
0.022         	6.832000e-03
0.023         	6.526370e-03
0.024         	6.231080e-03
0.025         	5.945900e-03
0.026         	6.006920e-03
0.027         	6.125180e-03
0.028         	6.205960e-03
0.029         	6.254740e-03
0.03          	6.276230e-03
0.031         	6.274450e-03
0.032         	6.252910e-03
0.033         	6.214590e-03
0.034         	6.162120e-03
0.035         	6.097740e-03
0.036         	6.021890e-03
0.037         	5.923970e-03
0.038         	5.820730e-03
0.039         	5.788610e-03
0.04          	5.808570e-03
0.041         	5.817280e-03
0.042         	5.815940e-03
0.043         	5.805640e-03
0.044         	5.787370e-03
0.045         	5.762030e-03
0.046         	5.730430e-03
0.047         	5.693290e-03
0.048         	5.651280e-03
0.049         	5.604980e-03
0.05          	5.554950e-03
0.051         	5.501660e-03
0.052         	5.445560e-03
0.053         	5.387050e-03
0.054         	5.326490e-03
0.055         	5.264190e-03
0.056         	5.200470e-03
0.057         	5.135570e-03
0.058         	5.069750e-03
0.059         	5.003210e-03
0.06          	4.936160e-03
0.061         	4.868760e-03
0.062         	4.801170e-03
0.063         	4.733540e-03
0.064         	4.665980e-03
0.065         	4.598610e-03
0.066         	4.531540e-03
0.067         	4.464840e-03
0.068         	4.398600e-03
0.069         	4.332890e-03
0.07          	4.274770e-03
0.071         	4.239730e-03
0.072         	4.204260e-03
0.073         	4.168440e-03
0.074         	4.132300e-03
0.075         	4.095910e-03
0.076         	4.059310e-03
0.077         	4.022560e-03
0.078         	3.985700e-03
0.079         	3.948760e-03
0.08          	3.911800e-03
0.081         	3.874840e-03
0.082         	3.837920e-03
0.083         	3.801050e-03
0.084         	3.764270e-03
0.085         	3.727590e-03
0.086         	3.691060e-03
0.087         	3.654670e-03
0.088         	3.618460e-03
0.089         	3.582440e-03
0.09          	3.546620e-03
0.091         	3.511030e-03
0.092         	3.475580e-03
0.093         	3.440140e-03
0.094         	3.404770e-03
0.095         	3.369500e-03
0.096         	3.334360e-03
0.097         	3.299390e-03
0.098         	3.264600e-03
0.099         	3.230030e-03
0.1           	3.195690e-03
0.101         	3.161580e-03
0.102         	3.127740e-03
0.103         	3.094190e-03
0.104         	3.060930e-03
0.105         	3.027970e-03
0.106         	2.995330e-03
0.107         	2.963000e-03
0.108         	2.931000e-03
0.109         	2.899340e-03
0.11          	2.869020e-03
0.111         	2.847710e-03
0.112         	2.826550e-03
0.113         	2.805470e-03
0.114         	2.784500e-03
0.115         	2.763620e-03
0.116         	2.742850e-03
0.117         	2.722180e-03
0.118         	2.701630e-03
0.119         	2.681190e-03
0.12          	2.660850e-03
0.121         	2.640630e-03
0.122         	2.620530e-03
0.123         	2.600550e-03
0.124         	2.580690e-03
0.125         	2.560960e-03
0.126         	2.541370e-03
0.127         	2.521900e-03
0.128         	2.502560e-03
0.129         	2.483360e-03
0.13          	2.464290e-03
0.131         	2.445350e-03
0.132         	2.426560e-03
0.133         	2.407890e-03
0.134         	2.389370e-03
0.135         	2.370980e-03
0.136         	2.352730e-03
0.137         	2.334620e-03
0.138         	2.316640e-03
0.139         	2.298810e-03
0.14          	2.281110e-03
0.141         	2.263560e-03
0.142         	2.246150e-03
0.143         	2.228870e-03
0.144         	2.211740e-03
0.145         	2.194740e-03
0.146         	2.177880e-03
0.147         	2.161160e-03
0.148         	2.144570e-03
0.149         	2.128130e-03
0.15          	2.111820e-03
0.151         	2.095640e-03
0.152         	2.079600e-03
0.153         	2.063700e-03
0.154         	2.047930e-03
0.155         	2.032290e-03
